Data,Id_Marketing,Sessoes,Usuarios,Conversoes,Receita
2024-02-11,5,405,303,9,1791.6999999999998
2024-02-11,6,153,136,4,431.02
2024-02-11,7,139,116,2,264.04
2024-02-12,1,372,313,5,1398.02
2024-02-12,2,382,309,7,921.59
2024-02-12,3,372,299,3,240.06
2024-02-12,4,334,268,2,305.96
2024-02-12,5,218,180,4,622.5
2024-02-12,6,122,92,3,280.58
2024-02-12,7,91,68,1,0.0
2024-02-13,1,428,325,5,910.5
2024-02-13,2,478,377,7,859.3599999999999
2024-02-13,3,486,372,4,998.23
2024-02-13,4,402,344,3,557.1899999999999
2024-02-13,5,282,209,5,442.26
2024-02-13,6,130,106,3,486.48
2024-02-13,7,55,50,0,0.0
2024-02-14,1,616,548,6,942.7
2024-02-14,2,421,326,6,442.95
2024-02-14,3,441,380,4,686.81
2024-02-14,4,496,453,3,307.72
2024-02-14,5,252,228,5,599.76
2024-02-14,6,118,95,3,147.04
2024-02-14,7,81,70,0,0.0
2024-02-15,1,697,619,7,1116.99
2024-02-15,2,471,425,7,1380.3899999999999
2024-02-15,3,674,581,7,1219.71
2024-02-15,4,422,365,3,122.66
2024-02-15,5,308,269,5,1040.21
2024-02-15,6,106,86,2,385.81
2024-02-15,7,84,72,1,0.0
2024-02-16,1,760,640,8,1443.49
2024-02-16,2,687,588,9,1177.63
2024-02-16,3,558,507,6,937.1500000000001
2024-02-16,4,364,272,3,254.51
2024-02-16,5,275,230,5,506.24
2024-02-16,6,127,115,3,378.21
2024-02-16,7,139,119,1,0.0
2024-02-17,1,731,594,8,1154.9
2024-02-17,2,465,398,7,1413.02
2024-02-17,3,719,633,7,1544.96
2024-02-17,4,585,517,4,591.9
2024-02-17,5,400,343,7,908.02
2024-02-17,6,109,97,3,604.76
2024-02-17,7,110,89,1,0.0
2024-02-18,1,862,723,10,1689.3
2024-02-18,2,428,363,7,1505.4699999999998
2024-02-18,3,546,472,6,845.11
2024-02-18,4,434,382,3,515.96
2024-02-18,5,356,309,8,1948.92
2024-02-18,6,124,108,3,824.5500000000001
2024-02-18,7,98,86,1,0.0
2024-02-19,1,390,351,4,526.8299999999999
2024-02-19,2,408,330,6,967.87
2024-02-19,3,584,453,5,576.55
2024-02-19,4,285,243,2,0.0
2024-02-19,5,264,224,5,1542.74
2024-02-19,6,74,61,1,0.0
2024-02-19,7,83,66,1,0.0
2024-02-20,1,530,397,5,837.41
2024-02-20,2,427,330,7,1526.9
2024-02-20,3,242,213,2,762.14
2024-02-20,4,292,227,2,1224.6299999999999
2024-02-20,5,282,256,6,1276.06
2024-02-20,6,148,131,4,747.56
2024-02-20,7,80,66,0,0.0
2024-02-21,1,640,552,6,1121.43
2024-02-21,2,479,371,6,1502.58
2024-02-21,3,599,456,6,548.64
2024-02-21,4,414,380,3,152.31
2024-02-21,5,287,232,5,1061.81
2024-02-21,6,142,106,4,622.62
2024-02-21,7,88,80,1,0.0
2024-02-22,1,629,545,8,2394.17
2024-02-22,2,469,399,6,1320.85
2024-02-22,3,434,378,4,434.81
2024-02-22,4,484,411,3,521.32
2024-02-22,5,271,229,5,751.1999999999999
2024-02-22,6,146,119,4,532.59
2024-02-22,7,104,84,1,0.0
2024-02-23,1,736,592,7,1669.36
2024-02-23,2,645,490,11,1641.77
2024-02-23,3,604,473,6,1707.5
2024-02-23,4,464,405,4,591.3199999999999
2024-02-23,5,266,202,5,435.56
2024-02-23,6,129,115,4,650.72
2024-02-23,7,137,101,2,695.0999999999999
2024-02-24,1,532,448,6,1330.81
2024-02-24,2,492,404,7,780.79
2024-02-24,3,629,505,5,1228.3
2024-02-24,4,435,368,3,373.46
2024-02-24,5,406,328,9,1250.5500000000002
2024-02-24,6,153,128,3,156.22
2024-02-24,7,99,86,1,0.0
2024-02-25,1,640,488,7,403.29
2024-02-25,2,547,452,8,1501.45
2024-02-25,3,387,313,3,495.18
2024-02-25,4,283,253,2,386.13
2024-02-25,5,244,202,5,1276.4
2024-02-25,6,173,151,4,636.7
2024-02-25,7,117,92,1,0.0
2024-02-26,1,465,422,4,690.48
2024-02-26,2,230,183,3,258.79
2024-02-26,3,305,231,2,0.0
2024-02-26,4,255,207,1,0.0
2024-02-26,5,144,109,3,571.96
2024-02-26,6,77,62,1,0.0
2024-02-26,7,60,51,0,0.0
2024-02-27,1,468,376,5,549.9
2024-02-27,2,367,293,6,1102.23
2024-02-27,3,311,283,2,177.2
2024-02-27,4,243,215,2,0.0
2024-02-27,5,137,122,2,286.64
2024-02-27,6,77,62,2,399.74
2024-02-27,7,57,45,0,0.0
2024-02-28,1,362,328,3,601.05
2024-02-28,2,318,282,6,1310.25
2024-02-28,3,534,400,6,693.56
2024-02-28,4,318,246,2,322.36
2024-02-28,5,194,164,4,348.24
2024-02-28,6,57,51,1,0.0
2024-02-28,7,101,79,1,0.0
2024-02-29,1,441,391,4,678.5799999999999
2024-02-29,2,459,409,7,1453.22
2024-02-29,3,337,260,3,349.2
2024-02-29,4,318,264,2,840.0
2024-02-29,5,201,149,5,1391.22
2024-02-29,6,118,87,3,196.43
2024-02-29,7,81,73,1,0.0
2024-03-01,1,473,401,4,745.9300000000001
2024-03-01,2,596,528,11,3249.1400000000003
2024-03-01,3,657,516,6,1730.57
2024-03-01,4,336,279,2,333.31
2024-03-01,5,149,115,3,300.08
2024-03-01,6,81,67,2,115.38
2024-03-01,7,80,61,1,0.0
2024-03-02,1,358,308,4,849.99
2024-03-02,2,401,300,6,734.91
2024-03-02,3,615,532,6,667.04
2024-03-02,4,347,299,2,700.94
2024-03-02,5,277,242,5,729.84
2024-03-02,6,100,77,2,0.0
2024-03-02,7,72,65,0,0.0
2024-03-03,1,725,539,8,1740.77
2024-03-03,2,469,375,7,1805.2199999999998
2024-03-03,3,433,381,4,617.96
2024-03-03,4,396,294,3,371.84
2024-03-03,5,291,259,6,1396.6999999999998
2024-03-03,6,98,88,2,121.86
2024-03-03,7,88,73,1,0.0
2024-03-04,1,270,210,3,680.22
2024-03-04,2,470,350,8,1219.08
2024-03-04,3,400,324,3,306.64
2024-03-04,4,321,243,2,562.26
2024-03-04,5,293,252,6,1188.8600000000001
2024-03-04,6,94,79,2,299.44
2024-03-04,7,59,43,0,0.0
2024-03-05,1,341,308,3,729.63
2024-03-05,2,385,352,7,585.26
2024-03-05,3,412,329,3,129.56
2024-03-05,4,249,215,1,0.0
2024-03-05,5,236,197,5,697.27
2024-03-05,6,134,110,3,123.82
2024-03-05,7,52,41,0,0.0
2024-03-06,1,347,291,4,225.02
2024-03-06,2,273,247,4,940.34
2024-03-06,3,369,295,3,684.6
2024-03-06,4,370,311,3,186.76
2024-03-06,5,248,223,5,867.1600000000001
2024-03-06,6,124,98,3,538.24
2024-03-06,7,57,51,0,0.0
2024-03-07,1,613,490,6,1202.5700000000002
2024-03-07,2,603,462,11,2821.63
2024-03-07,3,392,341,3,888.24
2024-03-07,4,220,167,1,0.0
2024-03-07,5,315,288,6,863.19
2024-03-07,6,112,89,3,251.98
2024-03-07,7,97,82,1,0.0
2024-03-08,1,535,486,5,839.6
2024-03-08,2,445,366,6,765.7
2024-03-08,3,593,453,6,1607.55
2024-03-08,4,203,158,1,0.0
2024-03-08,5,262,229,5,412.39
2024-03-08,6,110,86,2,219.33
2024-03-08,7,81,67,1,0.0
2024-03-09,1,687,628,8,1830.69
2024-03-09,2,464,407,7,1094.98
2024-03-09,3,579,498,6,726.96
2024-03-09,4,525,473,4,282.47
2024-03-09,5,272,218,5,530.41
2024-03-09,6,151,134,3,420.0
2024-03-09,7,95,87,1,0.0
2024-03-10,1,609,552,7,635.75
2024-03-10,2,538,446,9,1989.21
2024-03-10,3,640,500,6,2267.05
2024-03-10,4,484,408,4,1306.38
2024-03-10,5,276,224,6,761.78
2024-03-10,6,126,94,4,621.75
2024-03-10,7,111,94,1,0.0
2024-03-11,1,371,330,5,660.73
2024-03-11,2,514,444,8,858.99
2024-03-11,3,489,414,4,727.1800000000001
2024-03-11,4,236,210,2,326.75
2024-03-11,5,246,224,5,484.0
2024-03-11,6,139,107,3,219.8
2024-03-11,7,72,58,1,0.0
2024-03-12,1,597,471,7,1264.85
2024-03-12,2,327,295,5,901.13
2024-03-12,3,452,363,4,617.2
2024-03-12,4,290,254,2,275.02
2024-03-12,5,418,365,8,1677.68
2024-03-12,6,125,93,3,491.7
2024-03-12,7,51,46,0,0.0
2024-03-13,1,573,448,6,1134.54
2024-03-13,2,411,355,6,2053.2599999999998
2024-03-13,3,325,247,3,589.62
2024-03-13,4,338,288,3,760.36
2024-03-13,5,283,238,6,847.8199999999999
2024-03-13,6,118,102,2,261.31
2024-03-13,7,95,86,1,0.0
2024-03-14,1,686,574,8,1284.85
2024-03-14,2,302,271,5,771.48
2024-03-14,3,481,433,4,606.0
2024-03-14,4,326,282,2,158.3
2024-03-14,5,347,300,8,883.64
2024-03-14,6,110,82,3,289.89
2024-03-14,7,88,65,1,0.0
2024-03-15,1,626,569,6,735.06
2024-03-15,2,457,416,7,839.6700000000001
2024-03-15,3,634,562,5,1209.85
2024-03-15,4,365,282,3,316.17
2024-03-15,5,147,117,3,123.45
2024-03-15,6,161,141,4,471.68
2024-03-15,7,83,72,0,0.0
2024-03-16,1,556,501,6,650.96
2024-03-16,2,590,482,8,834.49
2024-03-16,3,728,553,7,786.78
2024-03-16,4,360,301,2,218.58
2024-03-16,5,289,228,6,979.6099999999999
2024-03-16,6,144,106,3,165.55
2024-03-16,7,73,59,0,0.0
2024-03-17,1,615,474,6,1277.4900000000002
2024-03-17,2,513,402,9,1942.8200000000002
2024-03-17,3,558,511,6,678.11
2024-03-17,4,389,332,3,322.69
2024-03-17,5,267,217,6,1520.73
2024-03-17,6,140,126,3,129.32
2024-03-17,7,127,95,1,0.0
2024-03-18,1,471,423,5,473.54999999999995
2024-03-18,2,270,232,5,491.21000000000004
2024-03-18,3,399,308,3,274.5
2024-03-18,4,264,224,2,272.53
2024-03-18,5,317,277,6,2159.3999999999996
2024-03-18,6,113,89,3,258.17
2024-03-18,7,99,76,1,0.0
2024-03-19,1,487,379,5,764.91
2024-03-19,2,336,277,5,568.8199999999999
2024-03-19,3,312,257,3,271.8
2024-03-19,4,336,295,2,0.0
2024-03-19,5,199,170,4,796.8499999999999
2024-03-19,6,106,94,2,393.6
2024-03-19,7,56,49,0,0.0
2024-03-20,1,575,527,6,769.72
2024-03-20,2,434,330,6,1484.9099999999999
2024-03-20,3,526,422,4,544.8
2024-03-20,4,428,336,3,709.26
2024-03-20,5,294,235,6,647.53
2024-03-20,6,125,96,2,629.32
2024-03-20,7,91,83,1,0.0
2024-03-21,1,483,432,5,774.45
2024-03-21,2,531,413,7,492.18
2024-03-21,3,579,439,5,868.2
2024-03-21,4,293,243,2,156.79
2024-03-21,5,199,165,3,668.73
2024-03-21,6,111,82,3,364.23
2024-03-21,7,78,62,1,0.0
2024-03-22,1,410,307,4,612.95
2024-03-22,2,441,351,6,545.49
2024-03-22,3,549,430,5,756.5899999999999
2024-03-22,4,250,218,1,0.0
2024-03-22,5,303,259,6,972.5799999999999
2024-03-22,6,179,136,5,591.5899999999999
2024-03-22,7,65,53,0,0.0
2024-03-23,1,929,769,10,1730.3799999999999
2024-03-23,2,532,413,8,1241.65
2024-03-23,3,584,437,6,773.0799999999999
2024-03-23,4,371,320,2,367.23
2024-03-23,5,349,277,7,1966.04
2024-03-23,6,173,153,4,319.65
2024-03-23,7,104,79,1,0.0
2024-03-24,1,478,384,5,449.44
2024-03-24,2,581,471,11,2395.33
2024-03-24,3,580,494,6,1142.1200000000001
2024-03-24,4,477,435,4,645.0999999999999
2024-03-24,5,280,237,6,1213.53
2024-03-24,6,102,77,2,0.0
2024-03-24,7,105,80,1,0.0
2024-03-25,1,440,340,4,690.4200000000001
2024-03-25,2,338,265,6,758.47
2024-03-25,3,362,329,4,294.41
2024-03-25,4,303,240,2,615.88
2024-03-25,5,197,172,4,438.75
2024-03-25,6,85,68,2,292.17
2024-03-25,7,55,47,0,0.0
2024-03-26,1,401,345,5,1274.03
2024-03-26,2,368,321,7,1327.6599999999999
2024-03-26,3,245,187,2,123.76
2024-03-26,4,358,298,2,383.32
2024-03-26,5,166,128,3,203.75
2024-03-26,6,125,101,3,144.0
2024-03-26,7,87,73,1,0.0
2024-03-27,1,496,378,5,705.98
2024-03-27,2,296,259,4,347.4
2024-03-27,3,428,379,4,1101.48
2024-03-27,4,116,104,0,0.0
2024-03-27,5,79,67,1,0.0
2024-03-27,6,110,95,3,147.28
2024-03-27,7,73,62,0,0.0
2024-03-28,1,434,337,4,675.6899999999999
2024-03-28,2,411,356,6,1053.3
2024-03-28,3,286,233,3,784.5
2024-03-28,4,313,249,2,709.3499999999999
2024-03-28,5,227,180,5,542.62
2024-03-28,6,103,80,2,124.53
2024-03-28,7,67,49,1,0.0
2024-03-29,1,620,490,6,1752.1000000000001
2024-03-29,2,316,249,4,992.88
2024-03-29,3,369,332,3,215.05
2024-03-29,4,352,285,2,572.9399999999999
2024-03-29,5,248,212,4,897.86
2024-03-29,6,115,87,3,292.0
2024-03-29,7,57,45,0,0.0
2024-03-30,1,570,490,6,1422.26
2024-03-30,2,241,189,3,293.37
2024-03-30,3,388,324,4,354.68
2024-03-30,4,281,254,2,840.0
2024-03-30,5,228,178,5,1733.4699999999998
2024-03-30,6,151,131,5,1417.31
2024-03-30,7,71,57,0,0.0
2024-03-31,1,724,590,9,3023.25
2024-03-31,2,431,337,7,1492.54
2024-03-31,3,554,470,4,664.27
2024-03-31,4,392,307,3,161.46
2024-03-31,5,289,231,7,1128.3600000000001
2024-03-31,6,94,75,2,140.51
2024-03-31,7,80,67,1,0.0
2024-04-01,1,385,325,4,701.17
2024-04-01,2,354,296,6,826.3399999999999
2024-04-01,3,264,202,2,311.9
2024-04-01,4,321,263,2,137.49
2024-04-01,5,195,171,4,468.25
2024-04-01,6,80,60,1,0.0
2024-04-01,7,76,65,0,0.0
2024-04-02,1,443,336,5,1221.97
2024-04-02,2,201,181,3,147.16
2024-04-02,3,404,348,4,823.5500000000001
2024-04-02,4,269,202,2,237.65
2024-04-02,5,154,126,3,372.54
2024-04-02,6,64,47,1,0.0
2024-04-02,7,72,53,0,0.0
2024-04-03,1,480,420,5,817.9599999999999
2024-04-03,2,274,221,4,1544.4699999999998
2024-04-03,3,259,204,2,128.95
2024-04-03,4,208,186,1,0.0
2024-04-03,5,154,126,3,345.47
2024-04-03,6,91,68,2,170.39
2024-04-03,7,68,51,1,0.0
2024-04-04,1,441,390,4,531.61
2024-04-04,2,531,435,7,942.26
2024-04-04,3,275,216,3,538.94
2024-04-04,4,261,201,1,0.0
2024-04-04,5,182,146,3,249.99
2024-04-04,6,112,97,3,299.97
2024-04-04,7,61,49,0,0.0
2024-04-05,1,529,466,5,941.97
2024-04-05,2,375,282,6,1342.88
2024-04-05,3,378,284,3,212.61
2024-04-05,4,259,226,2,593.24
2024-04-05,5,262,226,5,807.8299999999999
2024-04-05,6,99,75,2,151.2
2024-04-05,7,74,59,1,0.0
2024-04-06,1,786,695,9,1278.98
2024-04-06,2,523,439,7,1166.94
2024-04-06,3,695,548,5,903.87
2024-04-06,4,439,328,3,246.15
2024-04-06,5,369,327,9,821.02
2024-04-06,6,167,126,3,273.73
2024-04-06,7,81,63,1,0.0
2024-04-07,1,690,525,8,1140.31
2024-04-07,2,406,321,6,755.99
2024-04-07,3,475,422,4,397.31
2024-04-07,4,359,295,3,217.83
2024-04-07,5,330,269,7,1459.5700000000002
2024-04-07,6,126,115,4,1161.88
2024-04-07,7,107,94,1,0.0
2024-04-08,1,561,421,7,1557.7
2024-04-08,2,320,270,5,366.71000000000004
2024-04-08,3,341,293,3,132.38
2024-04-08,4,290,248,2,287.43
2024-04-08,5,173,132,3,627.1500000000001
2024-04-08,6,66,60,1,0.0
2024-04-08,7,54,46,0,0.0
2024-04-09,1,568,458,6,923.0799999999999
2024-04-09,2,246,214,3,156.78
2024-04-09,3,553,448,6,742.8100000000001
2024-04-09,4,213,184,1,0.0
2024-04-09,5,217,185,5,1797.1
2024-04-09,6,121,101,3,140.79
2024-04-09,7,89,68,1,0.0
2024-04-10,1,309,269,3,272.53
2024-04-10,2,560,451,8,1131.49
2024-04-10,3,453,336,4,674.0
2024-04-10,4,388,300,3,556.96
